trial_id,loss,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/lr_g,config/lr_d,config/batch_size,config/hidden_dim,config/embedding_dim,config/num_layers,config/dropout_prob,config/num_heads,config/bidirectional,config/n_disc_steps,config/clip_value,config/optimizer,config/n_epochs
61475_00018,0.6931610107421875,1724165628,,True,5,2024-08-20_10-53-48,67.92908978462219,343.5714056491852,529896,WUSSYRD230001,172.27.161.222,343.5714056491852,5,"18_batch_size=32,bidirectional=False,clip_value=0.0039,dropout_prob=0.2500,embedding_dim=16,hidden_dim=128,lr_d=0.0001,lr_g=0.0000,n_disc_steps=3,num_heads=8,num_layers=3",2.7172718538279383e-05,5.552654100945157e-05,32,128,16,3,0.25,8,False,3,0.0039346379227268285,rmsprop,25
61475_00019,0.6931618452072144,1724165984,,True,5,2024-08-20_10-59-44,69.46850347518921,352.08122205734253,532707,WUSSYRD230001,172.27.161.222,352.08122205734253,5,"19_batch_size=32,bidirectional=True,clip_value=0.0081,dropout_prob=0.5000,embedding_dim=64,hidden_dim=32,lr_d=0.0001,lr_g=0.0028,n_disc_steps=3,num_heads=8,num_layers=2",0.002754212989677056,6.234678374098697e-05,32,32,64,2,0.5,8,True,3,0.008147610761871042,rmsprop,25
61475_00020,0.6937587261199951,1724166494,,True,10,2024-08-20_11-08-14,50.687915325164795,507.44575357437134,535532,WUSSYRD230001,172.27.161.222,507.44575357437134,10,"20_batch_size=64,bidirectional=False,clip_value=0.0012,dropout_prob=0.2500,embedding_dim=64,hidden_dim=32,lr_d=0.0031,lr_g=0.0029,n_disc_steps=3,num_heads=8,num_layers=2",0.0028595769890699487,0.0031255316007425035,64,32,64,2,0.25,8,False,3,0.0012197877286689634,rmsprop,25
61475_00021,0.6933698058128357,1724166535,,True,5,2024-08-20_11-08-55,81.8931827545166,406.8954908847809,536840,WUSSYRD230001,172.27.161.222,406.8954908847809,5,"21_batch_size=32,bidirectional=False,clip_value=0.0062,dropout_prob=0.2500,embedding_dim=32,hidden_dim=128,lr_d=0.0005,lr_g=0.0002,n_disc_steps=3,num_heads=8,num_layers=2",0.00019129465071252605,0.0004974019771462686,32,128,32,2,0.25,8,False,3,0.006169905556646741,rmsprop,25
61475_00022,0.6931472420692444,1724166617,,True,5,2024-08-20_11-10-17,23.328758478164673,120.55012512207031,539812,WUSSYRD230001,172.27.161.222,120.55012512207031,5,"22_batch_size=64,bidirectional=False,clip_value=0.0019,dropout_prob=0.5000,embedding_dim=32,hidden_dim=32,lr_d=0.0000,lr_g=0.0003,n_disc_steps=1,num_heads=8,num_layers=2",0.0003413485052919058,2.611792111209537e-05,64,32,32,2,0.5,8,False,1,0.0019446710726001017,rmsprop,25
61475_00023,0.6930698156356812,1724169359,,True,25,2024-08-20_11-55-59,114.14083313941956,2820.6740992069244,540411,WUSSYRD230001,172.27.161.222,2820.6740992069244,25,"23_batch_size=32,bidirectional=True,clip_value=0.0017,dropout_prob=0.5000,embedding_dim=32,hidden_dim=16,lr_d=0.0004,lr_g=0.0000,n_disc_steps=5,num_heads=4,num_layers=3",2.5082324236250436e-05,0.00037887498014499475,32,16,32,3,0.5,4,True,5,0.00168180704108635,rmsprop,25
61475_00024,0.6931596398353577,1724168113,,True,20,2024-08-20_11-35-13,74.75081515312195,1492.6701118946075,541338,WUSSYRD230001,172.27.161.222,1492.6701118946075,20,"24_batch_size=64,bidirectional=True,clip_value=0.0012,dropout_prob=0.2500,embedding_dim=32,hidden_dim=128,lr_d=0.0001,lr_g=0.0004,n_disc_steps=3,num_heads=4,num_layers=3",0.0003763842914873343,5.003863567557804e-05,64,128,32,3,0.25,4,True,3,0.0012359014819253332,rmsprop,25
61475_00025,0.6931365132331848,1724168209,,True,5,2024-08-20_11-36-49,17.95275115966797,92.4253442287445,551943,WUSSYRD230001,172.27.161.222,92.4253442287445,5,"25_batch_size=128,bidirectional=True,clip_value=0.0076,dropout_prob=0.5000,embedding_dim=16,hidden_dim=32,lr_d=0.0000,lr_g=0.0011,n_disc_steps=1,num_heads=4,num_layers=2",0.0010876585261313059,4.536523693082466e-05,128,32,16,2,0.5,4,True,1,0.007640834539198955,rmsprop,25
61475_00026,0.6933273077011108,1724168891,,True,10,2024-08-20_11-48-11,66.86086630821228,679.7257318496704,552991,WUSSYRD230001,172.27.161.222,679.7257318496704,10,"26_batch_size=32,bidirectional=False,clip_value=0.0033,dropout_prob=0.5000,embedding_dim=16,hidden_dim=128,lr_d=0.0063,lr_g=0.0001,n_disc_steps=3,num_heads=8,num_layers=2",7.135127489827645e-05,0.006290886057401936,32,128,16,2,0.5,8,False,3,0.0033496350688477137,rmsprop,25
61475_00027,0.6931560039520264,1724169450,,True,5,2024-08-20_11-57-30,108.31047797203064,554.9593706130981,558085,WUSSYRD230001,172.27.161.222,554.9593706130981,5,"27_batch_size=64,bidirectional=True,clip_value=0.0041,dropout_prob=0.5000,embedding_dim=16,hidden_dim=128,lr_d=0.0000,lr_g=0.0064,n_disc_steps=5,num_heads=8,num_layers=3",0.0063571895453449255,3.5982884771500614e-05,64,128,16,3,0.5,8,True,5,0.004077376096001587,rmsprop,25
