trial_id,loss,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/lr_g,config/lr_d,config/batch_size,config/hidden_dim,config/optimizer,config/n_disc_steps,config/clip_value
49042_00025,0.6918115615844727,1723780934,,True,1,2024-08-16_00-02-14,285.53228855133057,285.53228855133057,150809,WUSSYRD230001,172.27.161.222,285.53228855133057,1,"25_batch_size=256,clip_value=0.0025,hidden_dim=128,lr_d=0.0138,lr_g=0.0006,n_disc_steps=5,optimizer=rmsprop",0.0005667760457825181,0.013751336629099853,256,128,rmsprop,5,0.002535755215612056
49042_00026,0.6899543404579163,1723780734,,True,1,2024-08-15_23-58-54,59.9465274810791,59.9465274810791,151316,WUSSYRD230001,172.27.161.222,59.9465274810791,1,"26_batch_size=128,clip_value=0.0064,hidden_dim=16,lr_d=0.0169,lr_g=0.0001,n_disc_steps=1,optimizer=rmsprop",0.0001413635808908355,0.016875269365452798,128,16,rmsprop,1,0.006409295150167364
49042_00027,0.6931472420692444,1723780810,,True,1,2024-08-16_00-00-10,72.992182970047,72.992182970047,152124,WUSSYRD230001,172.27.161.222,72.992182970047,1,"27_batch_size=64,clip_value=0.0022,hidden_dim=16,lr_d=0.0016,lr_g=0.0018,n_disc_steps=1,optimizer=adam",0.0017945617204608326,0.001582134118813474,64,16,adam,1,0.0021925333677235577
49042_00028,0.6931316256523132,1723780930,,True,1,2024-08-16_00-02-10,117.46005463600159,117.46005463600159,153032,WUSSYRD230001,172.27.161.222,117.46005463600159,1,"28_batch_size=32,clip_value=0.0030,hidden_dim=128,lr_d=0.0009,lr_g=0.0003,n_disc_steps=1,optimizer=adam",0.00026719501137090483,0.0008751104077823485,32,128,adam,1,0.0029998790953534834
49042_00029,0.6931471824645996,1723781009,,True,1,2024-08-16_00-03-29,74.95911359786987,74.95911359786987,154302,WUSSYRD230001,172.27.161.222,74.95911359786987,1,"29_batch_size=64,clip_value=0.0024,hidden_dim=32,lr_d=0.0001,lr_g=0.0001,n_disc_steps=1,optimizer=adam",0.00013916385346666438,0.00010324356600325596,64,32,adam,1,0.0024200805807175546
49042_00030,0.6931644082069397,1723781131,,True,1,2024-08-16_00-05-31,193.4011309146881,193.4011309146881,154647,WUSSYRD230001,172.27.161.222,193.4011309146881,1,"30_batch_size=128,clip_value=0.0014,hidden_dim=16,lr_d=0.0001,lr_g=0.0120,n_disc_steps=5,optimizer=rmsprop",0.012005136817118208,7.604566830423981e-05,128,16,rmsprop,5,0.0014276583197374113
49042_00031,0.692950427532196,1723781235,,True,1,2024-08-16_00-07-15,223.3367280960083,223.3367280960083,155551,WUSSYRD230001,172.27.161.222,223.3367280960083,1,"31_batch_size=384,clip_value=0.0024,hidden_dim=16,lr_d=0.0009,lr_g=0.0002,n_disc_steps=3,optimizer=rmsprop",0.00018671688788847712,0.0008957079503468897,384,16,rmsprop,3,0.0023669627650212827
49042_00032,0.6931474208831787,1723781323,,True,1,2024-08-16_00-08-43,189.49174165725708,189.49174165725708,156685,WUSSYRD230001,172.27.161.222,189.49174165725708,1,"32_batch_size=256,clip_value=0.0027,hidden_dim=32,lr_d=0.0091,lr_g=0.0004,n_disc_steps=5,optimizer=adam",0.00040811110969711197,0.009091808504669955,256,32,adam,5,0.0027390539972665046
49042_00033,0.694445788860321,1723781299,,True,1,2024-08-16_00-08-19,60.75839567184448,60.75839567184448,157687,WUSSYRD230001,172.27.161.222,60.75839567184448,1,"33_batch_size=128,clip_value=0.0026,hidden_dim=32,lr_d=0.0155,lr_g=0.0000,n_disc_steps=1,optimizer=rmsprop",3.560492864469687e-05,0.015486246148318374,128,32,rmsprop,1,0.002583999028422562
49042_00034,0.6931394338607788,1723781534,,True,1,2024-08-16_00-12-14,232.7074830532074,232.7074830532074,158492,WUSSYRD230001,172.27.161.222,232.7074830532074,1,"34_batch_size=384,clip_value=0.0082,hidden_dim=128,lr_d=0.0006,lr_g=0.0018,n_disc_steps=5,optimizer=rmsprop",0.0018271089330268821,0.0006029981010777083,384,128,rmsprop,5,0.008169820545310076
