max_len,val_cnt,inval_cnt,novel_cnt,max_sol,mean_sol,std_sol,max_qed,mean_qed,std_qed,max_synth,mean_synth,std_synth
14,186,814,22,-0.073,-0.49186363636363634,0.23914018244432306,0.112,0.02531818181818182,0.020914080432344582,249.168,143.2116363636364,49.005779543702296
12,182,818,20,0.305,-0.4667,0.20472447337824562,0.04,0.022700000000000005,0.009192932067626738,186.177,135.4581,25.179219413834097
13,153,847,17,-0.189,-0.5093529411764707,0.14936490696454088,0.034,0.02111764705882353,0.008982874902974624,231.371,148.18447058823529,33.60802226905609
10,318,682,15,0.256,-0.3436666666666666,0.20243901688053012,0.05,0.02126666666666667,0.010382463848025457,178.381,113.54386666666666,27.103893402650147
9,353,647,14,0.231,-0.33828571428571436,0.2037096773672307,0.059,0.025000000000000005,0.012800669625341592,122.877,102.8322857142857,16.448640223558954
11,243,757,14,0.28,-0.35907142857142854,0.2484228722750539,0.044,0.025357142857142863,0.010188278579238166,196.218,117.98235714285714,35.20909831808319
7,343,657,12,0.181,-0.18833333333333332,0.16331683590153492,0.087,0.025000000000000005,0.0202196274281534,142.267,91.11391666666667,23.154094970646604
8,333,667,11,0.206,-0.23581818181818182,0.17859594731318573,0.071,0.02572727272727273,0.016209373882198303,162.589,98.25572727272726,24.229399478885934
6,151,849,10,0.156,-0.178,0.14069399418596373,0.116,0.031400000000000004,0.029014479144041174,121.944,74.5103,18.8192998437774
5,175,825,4,-0.042,-0.13424999999999998,0.09207978877039195,0.034,0.025500000000000002,0.0085,101.622,70.26075,18.474464679321564
4,137,863,2,-0.037,-0.1,0.063,0.046,0.0435,0.0024999999999999988,81.3,65.979,15.320999999999998
3,482,518,1,-0.123,-0.123,0.0,0.108,0.108,0.0,37.996,37.996,0.0
